time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-02-27T23:10:31.840Z,37.8365,-121.9833333,6.18,2.02,md,57,54,0.02706,0.11,nc,nc72977121,2018-02-28T05:03:04.485Z,"2km NE of Danville, CA",earthquake,0.19,0.19,0.19,41,reviewed,nc,nc
2018-02-27T19:41:45.340Z,37.8346667,-121.975,5.53,1.51,md,19,68,0.02047,0.1,nc,nc72977031,2018-02-28T04:58:01.977Z,"2km W of Diablo, CA",earthquake,0.22,0.45,0.162,14,reviewed,nc,nc
2018-02-27T02:57:34.480Z,37.8415,-121.9738333,6.22,1.21,md,21,59,0.02042,0.08,nc,nc72976761,2018-02-28T04:45:03.948Z,"2km WNW of Diablo, CA",earthquake,0.22,0.32,0.185,14,reviewed,nc,nc
2018-02-27T01:07:03.920Z,37.8325,-121.9796667,6.04,1.34,md,18,69,0.02433,0.07,nc,nc72976721,2018-02-27T03:47:03.107Z,"2km W of Diablo, CA",earthquake,0.2,0.28,0.15,10,reviewed,nc,nc
2018-02-27T00:26:00.040Z,37.826,-121.9735,4.94,1.08,md,16,80,0.02148,0.04,nc,nc72976716,2018-02-27T02:55:03.860Z,"2km SW of Diablo, CA",earthquake,0.18,0.3,0.075,8,reviewed,nc,nc
2018-02-26T19:46:37.810Z,37.8366667,-121.9753333,6.15,1.77,md,25,69,0.02074,0.06,nc,nc72976536,2018-02-28T04:51:02.962Z,"2km W of Diablo, CA",earthquake,0.16,0.31,0.201,19,reviewed,nc,nc
2018-02-26T13:30:33.450Z,37.835,-121.9826667,6.48,1.62,md,27,87,0.02652,0.06,nc,nc72976356,2018-02-28T05:34:04.051Z,"2km NE of Danville, CA",earthquake,0.16,0.27,0.21,23,reviewed,nc,nc
2018-02-25T03:41:13.790Z,37.8248333,-121.9751667,5.78,0.95,md,15,65,0.02318,0.06,nc,nc72975706,2018-02-25T06:40:04.529Z,"2km SW of Diablo, CA",earthquake,0.26,0.34,0.059,8,reviewed,nc,nc
2018-02-25T01:27:24.880Z,37.858,-121.9736667,4.23,1.35,md,12,99,0.02966,0.16,nc,nc72975646,2018-02-25T06:56:01.558Z,"3km NNW of Diablo, CA",earthquake,0.39,0.8,0.087,7,reviewed,nc,nc
2018-02-24T20:45:20.460Z,37.8338333,-121.9758333,6.29,1.66,md,21,76,0.02118,0.05,nc,nc72975521,2018-02-28T04:31:01.916Z,"2km W of Diablo, CA",earthquake,0.2,0.21,0.19,18,reviewed,nc,nc
2018-02-24T19:23:38.670Z,37.8361667,-121.9778333,6.12,1.75,md,23,86,0.0227,0.05,nc,nc72975501,2018-02-28T05:22:03.029Z,"2km W of Diablo, CA",earthquake,0.18,0.37,0.13,18,reviewed,nc,nc
2018-02-23T22:09:02.930Z,37.8223333,-121.9755,5.61,1.35,md,13,79,0.06956,0.04,nc,nc72974831,2018-02-24T03:48:03.711Z,"2km SW of Diablo, CA",earthquake,0.31,0.49,0.235,10,reviewed,nc,nc
